SampleName,Longitude,Latitude
Antipina_a9,64.02,60.55
Antipina_a10,64,60
Antipina_a11,64.02649,60.55204
Antipina_a12,63.35539,60.5567
Antipina_a13,76.4512,61.0227
Antipina_a14,79.3429,57.0444
Atanassova_a1,25.3413888888889,42.7411111111111
Atanassova_a2,25.3275,42.7555555555556
Atanassova_a3,25.3275,42.76
Atanassova_a4,25.3408333333333,42.7205555555556
Atanassova_a5,25.3372222222222,42.7244444444444
Atanassova_b1,25.3413888888889,42.7411111111111
Atanassova_b2,25.3275,42.7555555555556
Atanassova_b3,25.3275,42.76
Atanassova_b4,25.3408333333333,42.7205555555556
Atanassova_b5,25.3372222222222,42.7244444444444
Atanassova_c1,25.3413888888889,42.7411111111111
Atanassova_c2,25.3275,42.7555555555556
Atanassova_c3,25.3275,42.76
Atanassova_c4,25.3408333333333,42.7205555555556
Atanassova_c5,25.3372222222222,42.7244444444444
Atanassova_d1,25.3275,42.7555555555556
Atanassova_d2,25.3275,42.76
Atanassova_e1,25.32138,42.735
Atanassova_e2,25.32138,42.735
Atanassova_e3,25.32138,42.735
Atanassova_e4,25.3258,42.746
Atanassova_e5,25.3258,42.746
Atanassova_e6,25.3258,42.746
Atanassova_e7,25.3258,42.746
Atanassova_e8,25.325,42.738
Atanassova_e9,25.325,42.738
Atanassova_e10,25.325,42.738
Atanassova_e11,25.325,42.738
Atanassova_e12,25.323,42.7244
Atanassova_e13,25.323,42.7244
Atanassova_e14,25.323,42.7244
Atanassova_e15,25.3202,42.717
Atanassova_e16,25.3202,42.717
Atanassova_e17,25.3202,42.717
Bakker_a1,30.401436,37.591179
Bakker_a2,30.380378,37.591353
Bakker_a3,30.41412,37.57448
Bakker_a4,30.407665,37.566355
Bakker_a5,30.40911,37.56973
Bakker_a6,30.393515,37.589715
Bakker_a7,30.40608,37.585288
Bakker_a8,30.39121,37.589223
Bakker_a9,30.403755,37.58995
Bakker_a10,30.297804,37.550905
Bakker_a11,30.300453,37.546514
Bakker_a12,30.290816,37.538868
Bakker_a13,30.284311,37.5388
Bakker_a14,30.368871,37.568253
Bakker_a15,30.622577,37.566754
Bakker_a16,30.385371,37.547705
Bakker_b1,30.4739666666667,37.6600166666667
Bakker_b2,30.5904,37.5798833333333
Bakker_b3,30.4737,37.6419166666667
Bakker_b4,30.51635,37.671017
Bakker_b5,30.4973666666667,37.6367166666667
Bakker_b6,30.4964,37.6457333333333
Bakker_b7,30.5287833333333,37.6759166666667
Bakker_b8,30.58115,37.5841666666667
Bakker_b9,30.4055833333333,37.5630833333333
Bakker_b10,30.4046,37.5628
Bakker_b11,30.39715,37.57375
Bakker_b12,30.5527,37.628
Bakker_b13,30.5083166666667,37.6673833333333
Bakker_b14,30.5085333333333,37.6681166666667
Bakker_b15,30.5123166666667,37.6785
Bakker_b16,30.5788833333333,37.5806833333333
Bakker_b17,30.5947166666667,37.5609166666667
Bakker_b18,30.5137333333333,37.6850833333333
Bakker_b19,30.5174166666667,37.68305
Bakker_b20,30.52795,37.6755166666667
Bakker_b21,30.4995,37.63625
Bakker_b22,30.7254666666667,37.6220166666667
Bakker_b23,30.5154666666667,37.6752666666667
Bakker_b24,30.55915,37.62145
Bakker_b25,30.5602666666667,37.56605
Bakker_b26,30.5761833333333,37.551
Bakker_b27,30.57835,37.54915
Bakker_b28,30.5998,37.5532333333333
Bakker_b29,30.6566333333333,37.6272833333333
Bakker_b30,30.5032666666667,37.6347666666667
Bakker_b31,30.65485,37.6337333333333
Bakker_b32,30.6594,37.6289
Bakker_b33,30.6557666666667,37.6294333333333
Bakker_b34,30.6571166666667,37.6288166666667
Bakker_b35,30.6600333333333,37.6375833333333
Bakker_b36,30.4942333333333,37.6783666666667
Bakker_b37,30.5561666666667,37.5861333333333
Bakker_b38,30.5598666666667,37.58135
Bakker_b39,30.5467166666667,37.5902166666667
Bakker_b40,30.3994333333333,37.5812333333333
Bakker_b41,30.4040166666667,37.5854833333333
Bakker_b42,30.4021666666667,37.58045
Bakker_b43,30.4037,37.5818833333333
Bakker_b44,30.3469333333333,37.6197166666667
Bakker_b45,30.3364333333333,37.6197166666667
Bakker_b46,30.5101833333333,37.6594333333333
Bakker_b47,30.5306,37.6806
Bakker_b48,30.5037333333333,37.67705
Bakker_b49,30.5273833333333,37.6770833333333
Bakker_b50,30.57835,37.5529333333333
Bakker_b51,30.5793666666667,37.5498
Bakker_b52,30.5078833333333,37.6673166666667
Bakker_b53,30.5841333333333,37.5556666666667
Bakker_b54,30.4949833333333,37.63465
Bakker_b55,30.4954,37.6330166666667
Bakker_b56,30.4928833333333,37.6583666666667
Bakker_b57,30.4759,37.6618
Bakker_b58,30.5507833333333,37.6300666666667
Bakker_b59,30.5594333333333,37.6241166666667
Bakker_b60,30.5611833333333,37.61925
Bakker_b61,30.5971833333333,37.56245
Bakker_b62,30.594,37.6279
Bakker_b63,30.5645833333333,37.6217
Bakker_b64,30.5641333333333,37.6205
Barboni_a1,27.11,44.08
Barboni_a2,27.11,44.08
Barboni_a3,27.11,44.08
Barboni_a4,27.11,44.08
Barboni_a5,27.11,44.08
Barboni_a6,27.11,44.08
Barboni_a7,27.11,44.08
Barboni_a8,27.11,44.08
Barboni_a9,26.9,44.11
Barboni_a10,26.9,44.11
Barboni_a11,26.9,44.11
Barboni_a12,26.9,44.11
Barboni_a13,26.9,44.11
Barboni_a14,24.3333,41.983
Barboni_a15,24.3333,41.983
Barboni_a16,24.3333,41.983
Barboni_a17,24.3167,41.967
Barboni_a18,23.6,41.5
Barboni_a19,23.61,41.53
Barboni_a20,23.61,41.51
Barboni_a21,23.61,41.51
Barboni_a22,-3.7,40.93
Barboni_a23,-3.8,40.96
Barboni_a24,23.61,41.51
Barboni_a25,-3.8,40.98
Barboni_a26,-3.8,40.98
Barboni_a27,-3.8,40.98
Barboni_a28,-3.83,40.98
Barboni_a29,-3.81,41.1
Barboni_a30,-3.8,41.11
Barboni_a31,23.61,41.51
Barboni_a32,23.1,41.35
Barboni_a33,23.11,41.35
Barboni_a34,23.1,41.33
Barboni_a35,15.62,40.32
Barboni_a36,15.63,40.32
Barboni_a37,15.63,40.32
Barboni_a38,15.63,40.32
Barboni_a39,15.63,40.32
Barboni_a40,15.65,40.32
Barboni_a41,15.65,40.32
Barboni_a42,15.65,40.32
Barboni_a43,15.65,40.32
Barboni_a44,15.7,40.28
Barboni_a45,15.7,40.28
Barboni_a46,15.7,40.28
Barboni_a47,15.7,40.28
Barboni_a48,15.67,40.25
Barboni_a49,15.67,40.25
Barboni_a50,15.67,40.25
Barboni_a51,15.65,40.25
Barboni_a52,15.6,40.32
Barboni_a53,15.6,40.32
Barboni_a54,15.6,40.32
Barboni_a55,15.55,40.32
Barboni_a56,15.55,40.32
Barboni_a57,7.68,44.15
Barboni_a58,7.6,44.14
Barboni_a59,4.3,45
Barboni_a60,5.3,44.87
Barboni_a61,4.3,45.05
Barboni_a62,5.25,44.87
Barboni_a63,9.07,41.57
Barboni_a64,9.66,42.5
Barboni_a65,8.97,42.23
Barboni_a66,9.13,42.05
Barboni_a67,4.85,43.52
Barboni_a68,6.43,44.17
Barboni_a69,5.35,44.1
Barboni_a70,5.48,44.42
Barboni_a71,5.38,44.42
Barboni_a72,4.35,43.43
Barboni_a73,5.32,44.1
Barboni_a74,7.43,44.1
Barboni_a75,7.45,44.05
Barboni_a76,6.53,45.77
Barboni_a77,5.85,44.75
Barboni_a78,6.72,44.55
Barboni_a79,6.548676,44.778151
Barboni_a80,3.62,44.47
Barboni_a81,5.32,44.1
Barboni_a82,4.92,43.8
Barboni_a83,41.2,35.18
Barboni_a84,41.19,35.17
Barboni_a85,41.04,35.27
Barboni_a86,41.02,36.17
Barboni_a87,40.79,36.15
Barboni_a88,40.83,36.4
Barboni_a89,40.88,36.43
Barboni_a90,41.06,36.41
Barboni_a91,41.14,36.4
Barboni_a92,40.68,36.38
Barboni_a93,39.08,37.279
Barboni_a94,38.5,37.22
Barboni_a95,38.5,37.22
Barboni_a96,38.5,37.22
Barboni_a97,38.529,37.27
Barboni_a98,38.849,37.38
Barboni_a99,39.419,37.72
Barboni_a100,40.099,37.909
Barboni_a101,39.72,38.18
Barboni_a102,39.72,38.18
Barboni_a103,39.72,38.18
Barboni_a104,39.72,38.18
Barboni_a105,39.72,38.18
Barboni_a106,41.47,38.169
Barboni_a107,41.669,38.13
Barboni_a108,42.49,37.93
Barboni_a109,42.419,37.919
Barboni_a110,42.36,37.909
Barboni_a111,42.259,37.919
Barboni_a112,42.229,37.93
Barboni_a113,42.049,38
Barboni_a114,41.849,37.979
Barboni_a115,37.549,37.75
Barboni_a116,37.279,37.88
Barboni_a117,39.529,38.5
Barboni_a118,39.549,38.47
Barboni_a119,39.669,38.4
Barboni_a120,39.75,38.279
Barboni_a121,40.169,37.979
Barboni_a122,40.049,38.069
Barboni_a123,39.88,38.18
Barboni_a124,39.819,38.2
Barboni_a125,41.029,38.5
Barboni_a126,40.5,38.52
Barboni_a127,40.5,38.58
Barboni_a128,40.979,38.77
Barboni_a129,40.43,38.909
Barboni_a130,40.2,38.869
Barboni_a131,2.7,45.41
Barboni_a132,2.7,45.41
